hour,day_of_week,weekend_flag,hourly_lag,24_hourly_lag,3_rolling_mean_lag,6_rolling_mean_lag,zone_id
0.23717649148014588,0.03043457878604249,0.003944037533423719,0.5264294573645186,0.13728478850393205,0.03135419299049477,0.03337645334144239,48
0.338678113053853,0.014791706208851303,0.0016268638364621737,0.2706863299872468,0.3387969249361996,0.01873200304602543,0.016688058931361664,68
0.0880723414145423,0.008037532713701948,0.0009122458715703462,0.8232456596375187,0.051732540042406426,0.013522331772720471,0.014477348547539797,79
0.09008301255029645,0.01532773091662411,0.0019289168099549075,0.763280398770668,0.07651703403888539,0.02166046113005374,0.031202445783517482,107
0.5801166590115995,0.012046695198649522,0.0011955451680512954,0.09923879924679962,0.24470429191059614,0.03360160499256886,0.029096404471735112,132
0.5781004301473338,0.026894528630718458,0.01002456119432726,0.1946850859034374,0.03507523951753297,0.10284581221438227,0.0523743423922678,138
0.07314186998348964,0.011751732108917832,0.006037254604882393,0.792195059539927,0.08206767974391817,0.01652086260826062,0.018285541410604407,140
0.12097027290975129,0.009278361355277836,0.0017154874038099544,0.7607698939079893,0.0709319869248183,0.018866717595598353,0.017467279902755036,141
0.3833345892596917,0.0214568642145999,0.0027767663969262965,0.37543121240028715,0.10220055865857078,0.08208462580390595,0.03271538326601823,142
0.13799401384713214,0.00502488578296051,0.0007228745763829416,0.8144440755851463,0.01996052823010733,0.008957823249364474,0.01289579872890632,161
0.10815410143328559,0.011595672282706936,0.0011593577197196521,0.8067921030134225,0.041108837258848695,0.011893306309571772,0.019296621982444778,162
0.12142514167586768,0.010418170302719578,0.0009283247847650665,0.7930579291065653,0.041525924483485924,0.015564047573295223,0.01708046207330127,163
0.0873815342654512,0.014757241971747,0.001123098922526995,0.7888204537706031,0.06931428768681747,0.018410889208076778,0.020192494174777594,164
0.09395173575759393,0.009625632098448127,0.0016750774079249775,0.8132195266162157,0.0478549755609893,0.014059638713080773,0.019613413845747187,170
0.14327909646080436,0.020502257227698564,0.0030022148511790556,0.7063428561782,0.0559649866848314,0.03431232067603343,0.03659626792125315,186
0.1176360607369506,0.016964724472212745,0.002646406054325758,0.7462199426303426,0.07089855111358438,0.022060683511276484,0.023573631481307568,229
0.6035142880549377,0.021629628587693524,0.0016216009611551999,0.20603571380923963,0.12742521817775562,0.016635974913728608,0.02313757549548975,230
0.11251693277198363,0.011767744333251808,0.0015166860274364337,0.8039885428752856,0.04140796863078419,0.011584160707286597,0.01721796465397158,234
0.06602982466047509,0.004885331123755779,0.00114097150272148,0.872198818243794,0.009880688844112695,0.01157013819578543,0.0342942274293554,236
0.10658945830613212,0.0067103270584429,0.000599130336541945,0.843345344522513,0.02228738180001844,0.01215767033279723,0.008310687643554382,237
0.15407789474492734,0.009135126152779076,0.0025432045543885033,0.7620865217962249,0.02753636333778607,0.021616652634209706,0.02300423677968433,238
0.12792695041886396,0.009458814989978866,0.0015680122550767494,0.7592481034645874,0.06435601187069154,0.021413271443864484,0.01602883555693702,239
0.0857205513747785,0.011103809616772365,0.002163289205138462,0.8391301134687662,0.024670430349558334,0.01607696164289267,0.021134844342093513,246
0.1385144324036143,0.010451144117892046,0.0014191687448833732,0.7662241614601322,0.0550405292434013,0.0136461502807338,0.01470441374934294,249
0.10600559543322452,0.01302333775142855,0.002045543932627187,0.7515280803245363,0.07493881616249568,0.023066523103921308,0.029392103291766503,263
